donor_name,donor_code,donor_sector,donor_country,acronym,funder_ref,donor_name_original,comments
Stichting Woord en Daad,nl-kvk-41118168,International NGO,,,,Stichting Woord en Daad,
Sub-Saharan Africa,sub-saharan-af,Region,,,,,New
Sweden,se,Government,SE,,,Sweden,
Sweden's International Development Cooperation Agency,SE,Government,SE,,,,New
Swedish University of Agricultural Sciences,suas,"Academic, Training and Research",,,,Swedish University of Agricultural Sciences,
Switzerland,ch,Government,CH,,,,
SynBioBeta,synbiobeta,Other,,,,,New
Syria Relief,GB-CHC-1143797,National NGO,GB,,sr,,
TB Alert,gb-chc-1071886,International NGO,,,,TB Alert,
Tearfund VZW (TFBE),be-bce_kbo-0419872616,National NGO,,,,Tearfund VZW (TFBE),
Terre des Hommes Netherlands,nl-kvk-41149287,International NGO,,,,Terre des Hommes Netherlands,
The Access to Nutrition Foundation,nl-kvk-58279199,International NGO,,,,The Access to Nutrition Foundation,
The Fred Hollows Foundation (UK),GB-CHC-1140288,International NGO,GB,,fhfuk,,
The Global Forum on MSM & HIV (MSMGF),US-EIN-471065461,International NGO,US,,msmgf,,
The International Rescue Committee,us-ein-13-5660870,International NGO,,,,The International Rescue Committee,
The Leprosy Mission England and Wales,gb-chc-1050327,International NGO,,,,The Leprosy Mission England and Wales,
The Netherlands,NL,Government,NL,,,,New
The Open University,GB-CHC-000391,"Academic, Training and Research",GB,,,The Open University,
The Power of Nutrition,gb-chc-1160373,Foundation,,,,The Power of Nutrition,
The Power of Nutrition,GB-COH-09288843,Foundation,GB,,,The Power of Nutrition,
Timidria,NE-DGI-5355,National NGO,NE,,timidria,,
Training Programs in Epidemiology and Public Health Interventions Network,train-prog,Other,,,,,New
Tropical Health and Education Trust,GB-CHC-1113101,International NGO,GB,,,Tropical Health and Education Trust,
UK - Department of Health (DH),GB-GOV-10,Government,GB,,,UK - Department of Health (DH),
UK - Ministry of Defence,gb-gov-8,Government,GB,,,UK - Ministry of Defence,
ULB-Coopération,be-bce_kbo-0415627875,National NGO,,,,ULB-Coopération,
UN Ebola Response Multi-Partner Trust Fund (MPTF),un-ebola-mptf,Multilateral,,,,,New
UNITAID,XM-DAC-30010,Multilateral,,,,UNITAID,
United Kingdom,gb,Government,GB,,,United Kingdom,
United Nations Central Emergency Response Fund (UN CERF),un-cerf,Multilateral,,,,,New
United Nations Children's Fund (UNICEF),41122,Multilateral,,,UNICEF,,
United Nations Development Programme (UNDP),undp,Multilateral,,,,United Nations Development Programme (UNDP),
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),xm-dac-41110,Multilateral,,,,United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),
United Nations Multi-Partner Trust Fund,un-mptf,Multilateral,,,,,New
United Nations Office for Disarmament Affairs (UNODA),unoda,Multilateral,,,,,
United Nations Office for Project Services (UNOPS),41aaa,Multilateral,,,,United Nations Office for Project Services (UNOPS),
United Nations Office on Drugs and Crime (UNODC),unodc,Multilateral,,,,,
United Nations Population Fund,unfpa,Multilateral,,,,United Nations Population Fund,
United Nations Regional Centre for Peace and Disarmament in Africa (UNREC),unrec,Multilateral,,,,,
United Nations Regional Centre for Peace and Disarmament in Asia and the Pacific (UNRCPD),unrcpd,Multilateral,,,,,
United Nations World Food Programme (WFP),xm-dac-41140,Multilateral,,,,United Nations World Food Programme (WFP),
United Purpose,gb-chc-272465,International NGO,,,,United Purpose,
United States,us,Government,US,,,United States,
United States Agency for International Development (USAID),us-gov-1,Government,US,,,United States Agency for International Development (USAID),
"University of California, San Francisco",ucsf,"Academic, Training and Research",US,,,,New
University of Sussex,sussex,"Academic, Training and Research",,,,,New
University of Washington (Institute for Protein Design),uw-ipd,"Academic, Training and Research",US,,,,New
US Centers for Disease Control and Prevention,US,Government,US,,,,New
VLIR-UOS,BE-BCE_KBO-0418766123,"Academic, Training and Research",BE,,,VLIR-UOS,
Voluntary Service Overseas (VSO),GB-CHC-313757,International NGO,GB,,,Voluntary Service Overseas (VSO),
War Child Holland,nl-kvk-41215393,International NGO,,,,War Child Holland,
We World - GVC Onlus,IT-RI-97241280151,International NGO,IT,,ww-gvc,,
Welbodi Partnership,gb-chc-1125217,"Academic, Training and Research",,,,Welbodi Partnership,
West Africa,west-africa,Region,,,,West Africa,
West African Health Organization,waf-health,Other,,,,,New
WHO Health Emergencies Program,who-hep,Multilateral,,,,WHO Health Emergencies Program,
Women and Children First (UK),gb-chc-1085096,International NGO,,,,Women and Children First (UK),
Women's Global Network on Reproductive Rights,ph-sec-fn200806591,International NGO,,,,Women's Global Network on Reproductive Rights,
Women's Refugee Commission,US-EIN-463668128,International NGO,US,,w_r_c,,
World Bank,wb,Multilateral,,,,World Bank,
World Child Cancer UK,gb-chc-1084729,International NGO,,,,World Child Cancer UK,
World Health Organization,who,Multilateral,,,,World Health Organization,
World Organisation for Animal Health,oie,International NGO,,,,World Organisation for Animal Health,
World Vision International,us-ein-95-3202116,International NGO,,,,World Vision International,
Worldwide Hospice Palliative Care Alliance,GB-COH-06735120,International NGO,GB,,whpca,,
WSM,BE-BCE_KBO-0413986102,National NGO,BE,,,WSM,
Y Care International,gb-chc-1109789,International NGO,,,,Y Care International,
YWCA of Bangladesh,BD-NAB-051,National NGO,BD,,,YWCA of Bangladesh,
Zangger Committee,zangger,Other,,,,,
Zanzibar,zanzibar,Other,,,,,New
